action,annotation_id,annotator,batch,corrected_action,created_at,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,id,lead_time,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,status,timestamp_sec,updated_at,verdict,video_uid,watchlist_hit
Object Transfer,13692,6,6,,2026-03-03T21:25:18.853828Z,12,991,,no,0,0.0,0,1149703,0.668,#C C picks a clothe in the bag,picks clothe in bag,Logistics step involving picking up an object.,r002,Cleaning,,silver,71.32192859999999,2026-03-03T21:25:18.853851Z,Gold,56e92c65-c82e-413b-aaf9-26a0dd5fbbe2,no
Stationary,13693,6,6,,2026-03-03T21:25:19.907295Z,12,1066,,no,0,0.0,0,1149704,4.391,#C C stretches out the clothe,stretches out clothe,"Low body/hand motion, likely involves holding the cloth and stretching it.",r002,Cleaning,Object Transfer,silver,74.2343486,2026-03-03T21:25:23.960449Z,Gold,56e92c65-c82e-413b-aaf9-26a0dd5fbbe2,no
Locomotion,13694,6,6,Object Transfer,2026-03-03T21:25:29.127196Z,3,9051,watchlist_verb,yes,0,0.0,0,1149705,4.509,#C C moves the clothe rack,moves clothe rack,"Body moving through space to move the cloth rack, involves high body acceleration.",r002,Cleaning,,silver,287.34382860000005,2026-03-03T21:25:29.127237Z,Bad,56e92c65-c82e-413b-aaf9-26a0dd5fbbe2,yes
Object Transfer,13695,6,6,,2026-03-03T21:25:31.101905Z,7,2918,,no,0,0.0,0,1149706,1.258,#C C puts cloths in the bag,puts cloths in bag,Logistics action involving placing an object into a container.,r002,Cleaning,,silver,31.7471686,2026-03-03T21:25:31.101919Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13696,6,6,,2026-03-03T21:25:32.139564Z,5,5096,,no,0,0.0,0,1149707,0.592,#C C places the bag on the floor,places bag on floor,"Logistics step, placing an object.",r002,Cleaning,,silver,35.9431786,2026-03-03T21:25:32.139578Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13697,6,6,,2026-03-03T21:25:33.122151Z,3,11132,,no,0,0.0,0,1149708,1.844,#C C picks clothe from the floor,picks clothe from floor,Logistics step involving picking up an object.,r002,Cleaning,,silver,134.4605686,2026-03-03T21:25:40.442164Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Stationary,13698,6,6,Essential Operation,2026-03-03T21:25:34.520844Z,5,5698,,no,0,0.0,0,1149709,4.382,#C C turns on the washing machine,turns on washing machine,Turning on a machine is a brief action with minimal body or hand movement.,r002,Cleaning,,silver,284.2708195863282,2026-03-03T21:25:38.232290Z,Bad,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13615,6,6,,2026-03-03T21:16:23.338541Z,5,5256,,no,0,0.0,0,1149710,2.019,#C C puts the bag in the drawer,puts bag in drawer,Logistics step involving picking up and placing an object.,r002,Cleaning,,silver,452.9203795863282,2026-03-03T21:16:23.338558Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13616,6,6,,2026-03-03T21:16:24.667538Z,5,5070,,no,0,0.0,0,1149711,0.648,#C C picks up the pillow,picks up pillow,Logistics step involving picking up an object.,r002,Cleaning,,silver,487.10930958632815,2026-03-03T21:16:24.667560Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13617,6,6,,2026-03-03T21:16:25.815920Z,7,2958,,no,0,0.0,0,1149712,0.529,#C C Puts the pillow on the bed,puts pillow on bed,Logistics action of moving the pillow to the bed.,r002,Cleaning,,silver,604.7493696931164,2026-03-03T21:16:25.815934Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13618,6,6,,2026-03-03T21:16:27.427831Z,6,3681,,no,0,0.0,0,1149713,1.025,#C C Picks a teddy bear,picks teddy bear,"Logistics step, picking up an object.",r002,Cleaning,,silver,695.4479196931163,2026-03-03T21:16:27.427844Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Object Transfer,13619,6,6,,2026-03-03T21:16:28.487645Z,5,4407,,no,0,0.0,0,1149714,0.497,#C C arranges the cartons,arranges cartons,Logistics step involving picking up and placing objects.,r002,Cleaning,,silver,964.2433173792969,2026-03-03T21:16:28.487689Z,Gold,589fd5f5-bccb-4820-b248-87054fcade25,no
Locomotion,13620,6,6,Object Transfer,2026-03-03T21:16:29.797214Z,5,4315,watchlist_verb,yes,0,0.0,0,1149715,3.692,#C C moves the stand,moves stand,Body moving through space to move an object.,r002,Cleaning,,silver,967.7968173792968,2026-03-03T21:16:33.023211Z,Bad,589fd5f5-bccb-4820-b248-87054fcade25,yes
Locomotion,13621,6,6,,2026-03-03T21:16:35.093489Z,5,5736,,no,0,0.0,0,1149716,0.666,#C C walks towards the cooker stove,walks towards cooker stove,Body moving through space (walking).,r002,Cooking,,silver,40.7339696,2026-03-03T21:16:35.093504Z,Gold,58baa94e-8a14-4608-907b-ddcda8cd7e21,no
Object Transfer,13622,6,6,,2026-03-03T21:16:36.387860Z,3,11459,,no,0,0.0,0,1149717,0.628,#C C picks a top tank,picks top tank,Logistics step involving picking up an object.,r002,Cleaning,,silver,60.6763386,2026-03-03T21:16:36.387883Z,Gold,5d2043c0-6982-4259-88bd-b4d0fc5d789a,no
Object Transfer,13623,6,6,,2026-03-03T21:16:37.973554Z,3,10368,,no,0,0.0,0,1149718,0.907,#C C lays a top tank on the table,lays top tank on table,Logistics of placing an object on a surface.,r002,Cleaning,,silver,69.4911886,2026-03-03T21:16:37.973569Z,Gold,5d2043c0-6982-4259-88bd-b4d0fc5d789a,no
Essential Operation,13624,6,6,,2026-03-03T21:16:39.304073Z,3,11840,,no,0,0.0,0,1149719,0.676,#C C play drums.,play drums,Core task involving high hand activity and body movement.,r002,Playing Instrument,,silver,9.1956586,2026-03-03T21:16:39.304099Z,Gold,612f93fe-6a51-4c5f-abcd-430d9eb7d69a,no
Locomotion,13625,6,6,Essential Operation,2026-03-03T21:16:40.526980Z,13,827,,no,1,1.0,1,1149720,7.935,#C C hits the legs on the drum pedals,hits legs on drum pedals,"Body movement through space, likely involving rhythmic strikes on the drum pedals.",r002,Playing Instrument,,silver,291.0938686,2026-03-03T21:17:05.262726Z,Bad,612f93fe-6a51-4c5f-abcd-430d9eb7d69a,no
Essential Operation,13626,6,6,,2026-03-03T21:16:51.166838Z,3,9506,,no,0,0.0,0,1149721,1.639,#C C beats the drum stick on the drum cymbal,beats drum stick on drum cymbal,Core task involving high hand activity and repetitive motion.,r002,Playing Instrument,,silver,476.46292860000005,2026-03-03T21:16:51.166863Z,Gold,612f93fe-6a51-4c5f-abcd-430d9eb7d69a,no
Locomotion,13627,6,6,Essential Operation,2026-03-03T21:16:52.375304Z,8,2108,,no,1,1.0,1,1149722,7.462,#C C hits on the drum pedals with the legs,hits on drum pedals with legs,"Body moving through space using legs, high body acceleration.",r002,Playing Instrument,Essential Operation,silver,861.3654076136719,2026-03-03T21:16:59.577091Z,Bad,612f93fe-6a51-4c5f-abcd-430d9eb7d69a,no
Object Transfer,13628,6,6,,2026-03-03T21:17:10.622131Z,3,10097,,no,0,0.0,0,1149723,5.29,#C C drops the wrench on a platform.,drops wrench on platform,"[CtxFixed] The action of dropping the wrench onto a platform can be interpreted as a deliberate placement, indicating that the wrench is being transferred to a new location (the platform).",r002,Mechanical Repair,,silver,5.90857,2026-03-03T21:17:14.830906Z,Gold,666beb29-be82-4f5f-8556-644ed5af8d90,no
Stationary,13629,6,6,,2026-03-03T21:17:12.665051Z,3,8745,watchlist_verb,yes,0,0.0,0,1149724,190.266,#C C holds the bolt on the wheel with his right hand.,holds bolt on wheel with his right hand,"Low body/hand motion, holding an object without movement.",r002,Mechanical Repair,,silver,39.49818,2026-03-03T21:20:24.425218Z,Gold,666beb29-be82-4f5f-8556-644ed5af8d90,yes
Essential Operation,13630,6,6,,2026-03-03T21:20:27.605351Z,3,10508,,no,0,0.0,0,1149725,1.36,#C C loosens the bolt with his right hand.,loosens bolt with his right hand,"Core task involving manual operation, high hand activity.",r002,Mechanical Repair,,silver,61.28166,2026-03-03T21:20:27.605366Z,Gold,666beb29-be82-4f5f-8556-644ed5af8d90,no
Essential Operation,13631,6,6,,2026-03-03T21:20:29.685920Z,3,10514,,no,0,0.0,0,1149726,0.797,#C C loosens a screw on the motorbike with the screw driver. #unsure,loosens screw on motorbike with screw driver,Core manual task involving high hand activity with a tool.,r002,Mechanical Repair,,silver,186.23498,2026-03-03T21:20:29.685935Z,Gold,666beb29-be82-4f5f-8556-644ed5af8d90,no
Object Transfer,13632,6,6,,2026-03-03T21:20:30.928355Z,4,6521,,no,0,0.0,0,1149727,0.683,#C C drops the screw on the platform.,drops screw on platform,"[CtxFixed] The action of dropping the screw on the platform can be considered a deliberate placement, as it involves moving an object (the screw) to a specific location (the platform).",r002,Mechanical Repair,,silver,192.6658,2026-03-03T21:20:30.928369Z,Gold,666beb29-be82-4f5f-8556-644ed5af8d90,no
Stationary,13633,6,6,Essential Operation,2026-03-03T21:20:32.002218Z,3,8656,watchlist_verb,yes,0,0.0,0,1149728,6.448,#C C adjusts the table lamp,adjusts table lamp,"Low body/hand motion, likely involves minor hand adjustments.",r002,Cleaning,,silver,25.245268600000003,2026-03-03T21:20:38.270682Z,Bad,669b3fbf-3658-4943-9f28-54b2251a7e61,yes
Object Transfer,13634,6,6,,2026-03-03T21:20:40.082377Z,4,7589,,no,0,0.0,0,1149729,1.072,#C C puts the camera aside,puts camera aside,Logistics step involving moving an object.,r002,Cleaning,,silver,97.9091386,2026-03-03T21:20:40.082392Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Locomotion,13635,6,6,Object Transfer,2026-03-03T21:20:41.482007Z,12,974,,no,0,0.0,0,1149730,3.18,#C C lifts the camera,lifts camera,Body moving through space (lifting). High Body Accel.,r002,Cleaning,,silver,101.7219386,2026-03-03T21:20:44.266265Z,Bad,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13636,6,6,,2026-03-03T21:20:45.597736Z,3,11101,,no,0,0.0,0,1149731,0.597,#C C picks the camera from the table,picks camera from table,Logistics step of picking up an object.,r002,Cleaning,,silver,196.0354186,2026-03-03T21:20:45.597759Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Search,13637,6,6,,2026-03-03T21:20:46.861275Z,3,10130,,no,0,0.0,0,1149732,0.651,#C C examines part of the camera,examines part of camera,"Visual inspection involves head movement and focused attention, with minimal hand activity.",r002,Cleaning,,silver,320.3305586,2026-03-03T21:20:46.861290Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Stationary,13638,6,6,Object Transfer,2026-03-03T21:20:47.933944Z,8,2356,,no,0,0.0,0,1149733,3.237,#C C shakes the camera,shakes camera,"Low body/hand motion, shaking is a minor action.",r002,Cleaning,,silver,357.80292860000003,2026-03-03T21:20:51.284956Z,Bad,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13699,6,6,,2026-03-03T21:25:46.617764Z,7,2782,,no,0,0.0,0,1149734,4.22,#C C picks the camera cleaner from the table,picks camera cleaner from table,Logistics action of picking up an item.,r002,Cleaning,,silver,366.8790986,2026-03-03T21:25:46.617786Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13700,6,6,,2026-03-03T21:25:47.983483Z,3,11887,,no,0,0.0,0,1149735,0.858,#C C pours the camera cleaner on the wipe,pours camera cleaner on wipe,Core task involving high hand activity.,r002,Cleaning,,silver,370.7367686,2026-03-03T21:25:47.983497Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13701,6,6,,2026-03-03T21:25:51.043991Z,9,1644,,no,0,0.0,0,1149736,0.815,#C C cleans the camera with the piece of cloth,cleans camera with piece of cloth,Core task involving manual cleaning activity.,r002,Cleaning,,silver,564.7259476213301,2026-03-03T21:25:51.044005Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13702,6,6,,2026-03-03T21:25:52.214862Z,15,625,,no,0,0.0,0,1149737,0.582,#C C cleans the part of the camera with the piece of cloth,cleans part of camera with piece of cloth,Core task involving manual cleaning activity with high hand acceleration.,r002,Cleaning,,silver,621.80363762133,2026-03-03T21:25:52.214877Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13703,6,6,,2026-03-03T21:25:53.238415Z,3,9994,,no,0,0.0,0,1149738,0.477,#C C drops the piece of cloth on the table,drops piece of cloth on table,Refined via regex fallback,r002,Cleaning,,silver,629.1221876213301,2026-03-03T21:25:53.238439Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13704,6,6,,2026-03-03T21:25:54.169752Z,6,3662,,no,0,0.0,0,1149739,0.383,#C C picks the piece of the cloth from the table,picks piece of cloth from table,Logistics step involving picking up an object.,r002,Cleaning,,silver,631.74333762133,2026-03-03T21:25:54.169783Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Stationary,13705,6,6,Essential Operation,2026-03-03T21:25:55.163624Z,3,8631,watchlist_verb,yes,0,0.0,0,1149740,4.218,#C C adjusts the part of the camera,adjusts part of camera,"Low body/hand motion, likely involves minor adjustments with minimal movement.",r002,Cleaning,,silver,739.72219762133,2026-03-03T21:26:00.943515Z,Bad,669b3fbf-3658-4943-9f28-54b2251a7e61,yes
Object Transfer,13706,6,6,,2026-03-03T21:26:02.373740Z,3,11179,,no,0,0.0,0,1149741,0.669,#C C picks the ear pad from the table,picks ear pad from table,"Logistics step, picking up an object.",r002,Cleaning,,silver,765.0802176213301,2026-03-03T21:26:02.373767Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13707,6,6,,2026-03-03T21:26:06.943916Z,7,2580,,no,0,0.0,0,1149742,0.798,#C C cleans the camera with the ear pad,cleans camera with ear pad,Core task involving fine manual dexterity.,r002,Cleaning,,silver,771.50839762133,2026-03-03T21:26:06.943941Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Stationary,13708,6,6,Object Transfer,2026-03-03T21:26:07.977740Z,5,4709,,no,0,0.0,0,1149743,2.999,#C C lifts the camera,lifts camera,"The action of lifting a camera does not involve significant body or hand movement beyond a brief lift, indicating low energy motion.",r002,Cleaning,,silver,778.1269676213301,2026-03-03T21:26:10.790663Z,Bad,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13739,6,6,,2026-03-03T21:27:05.769570Z,3,9920,,no,0,0.0,0,1149744,0.797,#CC drops the earbud on the table,drops earbud on table,Refined via regex fallback,r002,Cleaning,,silver,1146.1936952666665,2026-03-03T21:27:05.769594Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Stationary,13740,6,6,,2026-03-03T21:27:06.819489Z,12,1059,,no,0,0.0,0,1149745,3.337,#C C stares at the camera,stares at camera,"Low body/hand motion, focused attention.",r002,Cleaning,Search,silver,1306.6993952666664,2026-03-03T21:27:11.193070Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13741,6,6,,2026-03-03T21:27:12.406539Z,7,2790,,no,0,0.0,0,1149746,2.338,#C C picks a cotton swab.,picks cotton swab,Logistics step involving picking up an object.,r002,Cleaning,,silver,1462.1455619791666,2026-03-03T21:27:13.662905Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13742,6,6,,2026-03-03T21:27:14.894184Z,5,5275,,no,0,0.0,0,1149747,0.503,#C C puts the cotton pad on the table.,puts cotton pad on table,Logistics step involving picking up and placing an object.,r002,Cleaning,,silver,1530.679481979167,2026-03-03T21:27:14.894210Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13743,6,6,,2026-03-03T21:27:19.018538Z,3,9626,,no,0,0.0,0,1149748,0.549,#C C cleans the camera with a cotton swab.,cleans camera with cotton swab,Core manual task involving fine hand movements.,r002,Cleaning,,silver,1537.6546819791663,2026-03-03T21:27:19.018566Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Stationary,13744,6,6,,2026-03-03T21:27:20.221229Z,3,8760,watchlist_verb,yes,0,0.0,0,1149749,0.609,#C C holds camera flash cube with both hands,holds camera flash cube with both hands,"Low body/hand motion, holding an object without movement.",r002,Cleaning,,silver,1907.480361979167,2026-03-03T21:27:20.221251Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,yes
Object Transfer,13745,6,6,,2026-03-03T21:27:21.367958Z,6,3402,,no,0,0.0,0,1149750,0.576,#C C drops cotton on the table with the right hand,drops cotton on table with right hand,Refined via regex fallback,r002,Cleaning,,silver,1928.3940419791663,2026-03-03T21:27:21.367983Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Object Transfer,13746,6,6,,2026-03-03T21:27:22.372553Z,3,11100,,no,0,0.0,0,1149751,0.465,#C C picks camera flash cube with the left hand,picks camera flash cube with left hand,Logistics step involving picking up an object.,r002,Cleaning,,silver,1976.5129519791667,2026-03-03T21:27:22.372577Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13747,6,6,,2026-03-03T21:27:23.634998Z,5,5778,,no,0,0.0,0,1149752,0.693,#C C wipes camera with the cotton on the right hand,wipes camera with cotton on right hand,Core manual task involving high hand activity.,r002,Cleaning,,silver,2081.1293519791666,2026-03-03T21:27:23.635012Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Stationary,13748,6,6,,2026-03-03T21:27:24.677857Z,4,8339,,no,0,0.0,0,1149753,0.484,#C C turns camera with both hands,turns camera with both hands,"The action involves turning the camera with both hands, which indicates low body and hand motion overall.",r002,Cleaning,,silver,2094.5708519791665,2026-03-03T21:27:24.677873Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Essential Operation,13749,6,6,,2026-03-03T21:27:26.710928Z,4,8484,,no,0,0.0,0,1149754,1.468,#C C wipes camera with cotton,wipes camera with cotton,Core manual task involving high hand activity.,r002,Cleaning,,silver,2100.1799819791668,2026-03-03T21:27:26.710944Z,Gold,669b3fbf-3658-4943-9f28-54b2251a7e61,no
Locomotion,13750,6,6,,2026-03-03T21:27:27.987612Z,3,10137,,no,0,0.0,0,1149755,0.597,#C C exercises sit ups,exercises sit ups,"Body moving through space, involves significant body acceleration.",r002,Desk Work,,silver,174.93278859999998,2026-03-03T21:27:27.987635Z,Gold,6a1bdcdb-0def-4cbb-87ab-0da83b63552c,no
Locomotion,13751,6,6,,2026-03-03T21:27:30.232691Z,19,389,,no,0,0.0,0,1149756,1.465,#C C exercises on the floor,exercises on floor,"Body moving through space, likely involves physical activity like exercises which includes movement and acceleration.",r002,Desk Work,,silver,282.49519853334016,2026-03-03T21:27:30.232714Z,Gold,6a1bdcdb-0def-4cbb-87ab-0da83b63552c,no
Locomotion,13752,6,6,,2026-03-03T21:27:31.495269Z,4,8153,,no,0,0.0,0,1149757,0.573,#C C stands up from the floor,stands up from floor,Body moving through space from a stationary position.,r002,Desk Work,,silver,540.1096885333402,2026-03-03T21:27:31.495295Z,Gold,6a1bdcdb-0def-4cbb-87ab-0da83b63552c,no
Stationary,13753,6,6,,2026-03-03T21:27:32.628466Z,5,4641,,no,0,0.0,0,1149758,0.516,#C C folds legs,folds legs,"Low body/hand motion, change in posture while stationary.",r002,Desk Work,,silver,857.1917606530301,2026-03-03T21:27:32.628491Z,Gold,6a1bdcdb-0def-4cbb-87ab-0da83b63552c,no
Stationary,13754,6,6,,2026-03-03T21:27:34.174647Z,7,3042,,no,0,0.0,0,1149759,0.956,#C C straightens legs,straightens legs,"Low body/hand motion, likely involves slight adjustment while seated.",r002,Desk Work,,silver,896.6660906530301,2026-03-03T21:27:34.174670Z,Gold,6a1bdcdb-0def-4cbb-87ab-0da83b63552c,no
Stationary,13755,6,6,,2026-03-03T21:27:35.492287Z,4,5947,watchlist_verb,yes,0,0.0,0,1149760,0.68,#C C holds head,holds head,"Low body/hand motion, likely holding head stationary.",r002,Desk Work,,silver,1103.89390065303,2026-03-03T21:27:35.492310Z,Gold,6a1bdcdb-0def-4cbb-87ab-0da83b63552c,yes
Object Transfer,13756,6,6,,2026-03-03T21:27:42.556827Z,7,3082,,no,0,0.0,0,1149761,6.021,#C C turns the page of the book with the left hand,turns page of book with left hand,"Logistics step, turning a page involves short bursts of hand acceleration.",r002,Playing Instrument,Essential Operation,silver,113.2350786,2026-03-03T21:27:42.556866Z,Gold,6b0e9740-14ac-45aa-993c-574bc25a4585,no
Object Transfer,13757,6,6,,2026-03-03T21:27:43.901820Z,3,11069,,no,0,0.0,0,1149762,0.655,#C C picks the book with the left hand,picks book with left hand,Logistics step involving picking up an object.,r002,Playing Instrument,,silver,580.6426393320909,2026-03-03T21:27:43.901834Z,Gold,6b0e9740-14ac-45aa-993c-574bc25a4585,no
Essential Operation,13758,6,6,,2026-03-03T21:27:45.323320Z,8,2257,,no,0,0.0,0,1149763,0.664,#C C plays piano in the house,plays piano in house,"Core manual task involving hands, high hand activity.",r002,Playing Instrument,,silver,808.923947613672,2026-03-03T21:27:45.323347Z,Gold,6b0e9740-14ac-45aa-993c-574bc25a4585,no
Essential Operation,13759,6,6,,2026-03-03T21:27:46.516344Z,4,7451,,no,0,0.0,0,1149764,0.539,#C C pours detergent in the bucket,pours detergent in bucket,Core manual task involving high hand activity.,r002,Cleaning,,silver,21.5597486,2026-03-03T21:27:46.516359Z,Gold,6e7c717c-0f0a-4449-bec4-db05603d88d7,no
Object Transfer,13760,6,6,,2026-03-03T21:27:47.671909Z,4,7627,,no,0,0.0,0,1149765,0.535,#C C puts detergent in the cabinet,puts detergent in cabinet,Logistics step involving picking up and placing an object.,r002,Cleaning,,silver,29.5668986,2026-03-03T21:27:47.671927Z,Gold,6e7c717c-0f0a-4449-bec4-db05603d88d7,no
Object Transfer,13761,6,6,,2026-03-03T21:27:49.780563Z,53,61,,no,0,0.0,0,1149766,1.542,#C c puts the pan on the cooker,puts pan on cooker,Logistics step involving the placement of an object.,r002,Cooking,,silver,152.1062896,2026-03-03T21:27:49.780579Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Stationary,13762,6,6,,2026-03-03T21:27:50.758521Z,25,245,watchlist_verb,yes,0,0.0,0,1149767,0.481,#C c closes the water,closes water,Closing a tap involves minimal movement and is typically a stationary action.,r002,Cooking,,silver,262.1207496,2026-03-03T21:27:50.758537Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,yes
Object Transfer,13763,6,6,,2026-03-03T21:27:51.870276Z,4,7814,,no,0,0.0,0,1149768,0.67,#C c puts the shell on the table,puts shell on table,"Logistics/Setup step, putting an object down.",r002,Cooking,,silver,396.6150709546634,2026-03-03T21:27:51.870290Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13764,6,6,Essential Operation,2026-03-03T21:28:02.940325Z,6,3821,,no,0,0.0,0,1149769,6.804,#C c puts the cooking spoon down,puts cooking spoon down,Logistics step of placing the spoon down.,r002,Cooking,,silver,467.0866109546634,2026-03-03T21:28:15.237030Z,Bad,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Stationary,13765,6,6,Essential Operation,2026-03-03T21:28:04.554598Z,6,4017,,no,0,0.0,0,1149770,9.653,#C c switches off the cooker,switches off cooker,"Low body/hand motion, likely involves a single action with minimal movement.",r002,Cooking,,silver,533.7955309546634,2026-03-03T21:28:20.388410Z,Bad,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13766,6,6,,2026-03-03T21:28:24.393655Z,17,511,,no,0,0.0,0,1149771,4.132,#C c picks up a chopping board,picks up chopping board,Logistics step involving picking up an object.,r002,Cooking,,silver,568.7634609546634,2026-03-03T21:28:24.393678Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13767,6,6,,2026-03-03T21:28:25.699631Z,16,579,,no,0,0.0,0,1149772,0.763,#C c puts the bread on the plate,puts bread on plate,"Logistics step, moving the bread to the plate.",r002,Cooking,,silver,609.4539209546634,2026-03-03T21:28:25.699654Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13768,6,6,,2026-03-03T21:28:28.490070Z,11,1254,,no,0,0.0,0,1149773,1.98,#C c puts the pan in the sink,puts pan in sink,Logistics/Setup step involving moving an object to a specific location.,r002,Cooking,,silver,653.1271409546634,2026-03-03T21:28:28.490094Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13709,6,6,,2026-03-03T21:26:14.955675Z,5,5069,,no,0,0.0,0,1149774,1.188,#C c picks up a paper from the table,picks up paper from table,Logistics step involving picking up an object.,r002,Cooking,,silver,672.5644309546634,2026-03-03T21:26:14.955716Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13710,6,6,,2026-03-03T21:26:16.577393Z,3,11565,,no,0,0.0,0,1149775,1.219,#C c picks up the spoon from the table,picks up spoon from table,Logistics step involving picking up an object.,r002,Cooking,,silver,719.7713109546634,2026-03-03T21:26:16.577413Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Essential Operation,13711,6,6,,2026-03-03T21:26:17.584095Z,3,9432,,no,0,0.0,0,1149776,0.508,#C c adds some salt in the food,adds salt in food,"Core task, high hand activity.",r002,Cooking,,silver,816.7692409546635,2026-03-03T21:26:17.584111Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13712,6,6,,2026-03-03T21:26:18.613269Z,4,8560,,no,0,0.0,0,1149777,0.484,#O x puts the bread on the table,x puts bread on table,Logistics step involving picking up and placing an object.,r002,Cooking,,silver,911.5809709546634,2026-03-03T21:26:18.613288Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13713,6,6,,2026-03-03T21:26:19.609452Z,4,7576,,no,0,0.0,0,1149778,0.515,#C c puts the bread on the table,puts bread on table,Logistics step involving picking up and putting down the bread.,r002,Cooking,,silver,966.2494409546634,2026-03-03T21:26:19.609466Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Stationary,13714,6,6,Essential Operation,2026-03-03T21:26:20.537352Z,5,5827,,no,0,0.0,0,1149779,3.029,#O x bites the bread,x bites bread,"Low body/hand motion, eating involves minimal movement.",r002,Cooking,,silver,985.4941409546634,2026-03-03T21:26:23.266919Z,Bad,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13715,6,6,,2026-03-03T21:26:24.556657Z,11,1262,,no,0,0.0,0,1149780,0.613,#C c puts the utensils in the sink,puts utensils in sink,Logistics/Setup step involving placing objects.,r002,Cooking,,silver,1148.1278609546632,2026-03-03T21:26:24.556680Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13716,6,6,,2026-03-03T21:26:25.545918Z,4,7622,,no,0,0.0,0,1149781,0.462,#C c puts the cup on the plate,puts cup on plate,Logistics step involving picking up and placing an object.,r002,Cooking,,silver,1179.8130809546633,2026-03-03T21:26:25.545940Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Object Transfer,13717,6,6,,2026-03-03T21:26:26.531596Z,7,3131,,no,0,0.0,0,1149782,0.418,#O x puts the cup on the table,x puts cup on table,Logistics step involving picking up and placing down objects.,r002,Cooking,,silver,1372.8580309546633,2026-03-03T21:26:26.531619Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
Stationary,13718,6,6,,2026-03-03T21:26:28.240244Z,6,4134,,no,0,0.0,0,1149783,1.211,#O x bites the piece of bread,x bites piece of bread,"Low body/hand motion, eating is a stationary activity.",r002,Cooking,,silver,1406.6961409546634,2026-03-03T21:26:28.240270Z,Gold,6fd90f8d-7a4d-425d-a812-3268db0b0342,no
